bin_index,R,planned_base_exposure,delivered_base_exposure
0,-3.0,0.0,0.0
1,-2.9914285714285715,0.0,0.0
2,-2.9828571428571427,0.0,0.0
3,-2.974285714285714,0.0,0.0
4,-2.9657142857142857,0.0,0.0
5,-2.9571428571428573,0.0,0.0
6,-2.9485714285714284,0.0,0.0
7,-2.94,0.0,0.0
8,-2.9314285714285715,0.0,0.0
9,-2.922857142857143,0.0,0.0
10,-2.914285714285714,0.0,0.0
11,-2.9057142857142857,0.0,0.0
12,-2.8971428571428572,0.0,0.0
13,-2.888571428571429,0.0,0.0
14,-2.88,0.0,0.0
15,-2.8714285714285714,0.0,0.0
16,-2.862857142857143,0.0,0.0
17,-2.854285714285714,0.0,0.0
18,-2.8457142857142856,0.0,0.0
19,-2.837142857142857,0.0,0.0
20,-2.8285714285714287,0.0,0.0
21,-2.82,0.0,0.0
22,-2.8114285714285714,0.0,0.0
23,-2.802857142857143,0.0,0.0
24,-2.7942857142857145,0.0,0.0
25,-2.7857142857142856,0.0,0.0
26,-2.777142857142857,0.0,0.0
27,-2.7685714285714287,0.0,0.0
28,-2.76,0.0,0.0
29,-2.7514285714285713,0.0,0.0
30,-2.742857142857143,0.0,0.0
31,-2.7342857142857144,0.0,0.0
32,-2.7257142857142855,0.0,0.0
33,-2.717142857142857,0.0,0.0
34,-2.7085714285714286,0.0,0.0
35,-2.7,0.0,0.0
36,-2.6914285714285713,0.0,0.0
37,-2.682857142857143,0.0,0.0
38,-2.6742857142857144,0.0,0.0
39,-2.6657142857142855,0.0,0.0
40,-2.657142857142857,0.0,0.0
41,-2.6485714285714286,0.0,0.0
42,-2.64,0.0,0.0
43,-2.6314285714285712,0.0,0.0
44,-2.6228571428571428,0.0,0.0
45,-2.6142857142857143,0.0,0.0
46,-2.605714285714286,0.0,0.0
47,-2.597142857142857,0.0,0.0
48,-2.5885714285714285,0.0,0.0
49,-2.58,0.0,0.0
50,-2.571428571428571,0.0,0.0
51,-2.5628571428571427,0.0,0.0
52,-2.5542857142857143,0.0,0.0
53,-2.545714285714286,0.0,0.0
54,-2.5371428571428574,0.0,0.0
55,-2.5285714285714285,0.0,0.0
56,-2.52,0.0,0.0
57,-2.5114285714285716,0.0,0.0
58,-2.5028571428571427,0.0,0.0
59,-2.494285714285714,0.0,0.0
